----------
Target: 1496673325239,0,0.6,15
1,1496673332780,-0.190441,0.275,13.87735
1,1496673332791,-0.190772,0.2750001,13.92682
1,1496673332803,-0.1911029,0.2750001,13.97628
1,1496673332814,-0.1914339,0.2750001,14.02574
1,1496673332825,-0.1917647,0.275,14.07519
1,1496673332836,-0.1920955,0.275,14.12463
1,1496673332847,-0.1924263,0.2749999,14.17406
1,1496673332858,-0.192757,0.2749999,14.22348
1,1496673332870,-0.1930876,0.2749999,14.2729
1,1496673332881,-0.1934182,0.275,14.32231
1,1496673332892,-0.1937488,0.275,14.37171
1,1496673332903,-0.1940793,0.2750001,14.4211
1,1496673332914,-0.1944097,0.2750001,14.47049
1,1496673332925,-0.1947401,0.275,14.51987
1,1496673332937,-0.1950704,0.275,14.56924
1,1496673332948,-0.1954007,0.2749999,14.6186
1,1496673332959,-0.1957309,0.2749999,14.66795
1,1496673332970,-0.1960611,0.2749999,14.7173
1,1496673332981,-0.1963912,0.275,14.76664
1,1496673332992,-0.1967212,0.275,14.81597
1,1496673333003,-0.1970512,0.2750001,14.86529
1,1496673333015,-0.1968684,0.2846884,14.89645
1,1496673333026,-0.1975154,0.2955,14.92028
1,1496673333037,-0.1981544,0.3055643,14.94298
1,1496673333048,-0.1987214,0.3147351,14.96452
1,1496673333059,-0.1992235,0.3229749,14.98484
1,1496673333071,-0.1996897,0.3302567,15.00393
1,1496673333082,-0.2006869,0.3418613,15.03848
1,1496673333093,-0.2013183,0.3461632,15.05396
1,1496673333104,-0.2020914,0.3494607,15.06827
1,1496673333115,-0.2030455,0.3517635,15.08143
1,1496673333126,-0.2042089,0.3530714,15.09344
1,1496673333138,-0.2056085,0.3533882,15.10433
1,1496673333149,-0.2072875,0.3527138,15.11411
1,1496673333160,-0.20926,0.3510572,15.12282
1,1496673333171,-0.2115028,0.3484138,15.13051
1,1496673333182,-0.2140212,0.34481,15.1372
1,1496673333193,-0.2167265,0.3402522,15.14308
1,1496673333205,-0.2196506,0.3347565,15.14821
1,1496673333216,-0.2228331,0.328346,15.15261
1,1496673333227,-0.226216,0.3210364,15.1565
1,1496673333238,-0.2296981,0.3126508,15.1603
1,1496673333249,-0.2331553,0.3030206,15.16413
1,1496673333260,-0.2366019,0.2921659,15.16799
1,1496673333272,-0.2400903,0.2801412,15.1718
1,1496673333283,-0.2440203,0.2760283,15.1729
1,1496673333294,-0.2478992,0.2752057,15.17396
1,1496673333305,-0.2517653,0.2750412,15.17502
1,1496673333316,-0.2556282,0.2750083,15.17607
1,1496673333328,-0.25949,0.2750017,15.17712
1,1496673333339,-0.2633511,0.2750004,15.17818
1,1496673333350,-0.2672116,0.2750002,15.17923
1,1496673333361,-0.2710715,0.2750001,15.18028
1,1496673333372,-0.2749307,0.2750001,15.18134
1,1496673333383,-0.2787893,0.2750001,15.18239
1,1496673333395,-0.2826474,0.2750001,15.18344
1,1496673333406,-0.2865048,0.2750001,15.1845
1,1496673333417,-0.2903616,0.2750001,15.18555
1,1496673333428,-0.2942178,0.2750001,15.1866
1,1496673333439,-0.2980734,0.2750001,15.18765
1,1496673333451,-0.3019283,0.2750001,15.1887
1,1496673333462,-0.3057827,0.2750001,15.18976
1,1496673333473,-0.3096364,0.2750001,15.19081
1,1496673333484,-0.3134896,0.2750001,15.19186
1,1496673333495,-0.3173421,0.2750001,15.19291
1,1496673333506,-0.321194,0.2750001,15.19396
1,1496673333517,-0.3250453,0.2750001,15.19501
1,1496673333529,-0.328896,0.2750001,15.19606
1,1496673333540,-0.3327461,0.2750001,15.19711
1,1496673333551,-0.3365955,0.2750001,15.19817
1,1496673333562,-0.3404444,0.2750001,15.19922
Target hit: True
Target near hit: True
----------
Target: 1496673336590,0,0.65,17.2379
2,1496673338286,-0.1380324,2.204761,0.2831229
2,1496673338297,-0.1370823,2.202706,0.366903
2,1496673338308,-0.1361322,2.199439,0.4506832
2,1496673338319,-0.1351821,2.194961,0.5344633
2,1496673338331,-0.134232,2.189272,0.6182435
2,1496673338342,-0.1332819,2.182372,0.7020237
2,1496673338353,-0.1323319,2.174261,0.7858039
2,1496673338364,-0.1313818,2.164938,0.869584
2,1496673338375,-0.1304317,2.154405,0.9533642
2,1496673338386,-0.1294816,2.14266,1.037144
2,1496673338397,-0.1285315,2.129705,1.120924
2,1496673338408,-0.1275814,2.115538,1.204705
2,1496673338420,-0.1266314,2.10016,1.288485
2,1496673338431,-0.1256813,2.083571,1.372265
2,1496673338442,-0.1247312,2.065771,1.456045
2,1496673338453,-0.1237811,2.04676,1.539825
2,1496673338464,-0.122831,2.026537,1.623605
2,1496673338476,-0.1218809,2.005104,1.707386
2,1496673338487,-0.1209309,1.982459,1.791166
2,1496673338498,-0.1199808,1.958604,1.874946
2,1496673338509,-0.1190307,1.933537,1.958726
2,1496673338520,-0.1180806,1.907259,2.042506
2,1496673338531,-0.1171305,1.87977,2.126286
2,1496673338543,-0.1161804,1.85107,2.210066
2,1496673338554,-0.1152304,1.821159,2.293846
2,1496673338565,-0.1142803,1.790036,2.377626
2,1496673338576,-0.1133302,1.757703,2.461406
2,1496673338587,-0.1123801,1.724158,2.545187
2,1496673338598,-0.11143,1.689403,2.628967
2,1496673338610,-0.11048,1.653436,2.712747
2,1496673338621,-0.1095299,1.616258,2.796527
2,1496673338632,-0.1085798,1.577869,2.880307
2,1496673338643,-0.1076297,1.538269,2.964087
2,1496673338654,-0.1066796,1.497458,3.047867
2,1496673338665,-0.1057295,1.455435,3.131647
2,1496673338677,-0.1047795,1.412202,3.215427
2,1496673338688,-0.1038294,1.367757,3.299207
2,1496673338699,-0.1028793,1.322102,3.382987
2,1496673338710,-0.1019292,1.275235,3.466767
